whispertinyEntranscription_text,whisperbaseEntranscription_text,whispersmallEntranscription_text,whispermediumEntranscription_text,whisperturbotranscription_text,whisperlargetranscription_text,transcription,filename,id,whispertinyEnwer,whispersmallEnwer,whispermediumEnwer,whisperlargewer,whisperturbower
 My mind feels very sad as if it hurts. The way I feel in my head is often when I think about my breakup I cry with sadness.," My mind feels very sad as if it hurts. The way I feel in my head is awful and when I think about my breakup, I cry with sadness."," My mind feels very sad, as if it hurts. The way I feel in my head is awful and when I think about my breakup, I cry with sadness.", My mind feels very sad as if it hurts. The way I feel in my head is awful and when I think about my breakup I cry with sadness.," My mind feels very sad, as if it hurts. The way I feel in my head is awful and when I think about my breakup, I cry with sadness."," My mind feels very sad, as if it hurts. The way I feel in my head is awful and when I think about my breakup, I cry with sadness.","My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness.",train_sample_15.wav,train_sample_15.wav,13.793103448275861,3.4482758620689653,6.896551724137931,3.4482758620689653,3.4482758620689653
 I have a feeling my whole body is complaining., I have a feeling my whole body is complaining., I have a feeling my whole body is complaining., I have a feeling my whole body is complaining., I have a feeling my whole body is complaining., I have a feeling my whole body is complaining.,I have a feeling like my whole body is complaining,train_sample_16.wav,train_sample_16.wav,20.0,20.0,20.0,20.0,20.0
 I feel the deep wind I make certain movements., I feel dizzy when I make certain movements., I feel dizzy when I make sudden movements., I feel dizzy when I make sudden movements., I feel dizzy when I make sudden movements., I feel dizzy when I make sudden movements.,I feel dizzy when i make sudden movements,train_sample_17.wav,train_sample_17.wav,75.0,25.0,25.0,25.0,25.0
" Longest, real, running line across back with the hardest part of the movements."," Long as you will, running line across back with the hardest battery movements.", Longus usual warning line across back with hard respiratory movements., Longitudinal warning line across back with hard sprited movements., Longest usual warning line across back with hard respiratory movements., Longitudinal warning line across back with hard respiratory movements.,longitudinal burning line across back with hard respiratory movements,train_sample_18.wav,train_sample_18.wav,100.0,44.44444444444444,44.44444444444444,33.33333333333333,44.44444444444444
 I don't know why I'm constantly sad., I don't know why I'm constantly sad., I don't know why I'm constantly sad., I don't know why I'm constantly sad., I don't know why I'm constantly sad., I don't know why I'm constantly sad.,I don't know why I'm constantly sad.,train_sample_19.wav,train_sample_19.wav,0.0,0.0,0.0,0.0,0.0
 My back got entered while I was lifting at the gym., My pack got entered while I was lifting at the gym., My back got injured while I was lifting at the gym., My back got injured while I was lifting at the gym., My back got injured while I was lifting at the gym., My back got injured while I was lifting at the gym.,My back got injured while i was lifting at the gym,train_sample_583.wav,train_sample_583.wav,27.27272727272727,18.181818181818183,18.181818181818183,18.181818181818183,18.181818181818183
 It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and in throat., It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and it throbes., It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and it thrombs., It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and it throbs., It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and it throbs., It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and it throbs.,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,train_sample_20.wav,train_sample_20.wav,8.695652173913043,4.3478260869565215,0.0,0.0,0.0
 each at front and centre of scalp., each at front and center of scalp., each at front and center of scalp., Itch at front and centre of scalp., itch at front and centre of scalp., Itch at front and centre of scalp.,itch at front and center of scalp,train_sample_21.wav,train_sample_21.wav,42.857142857142854,28.57142857142857,42.857142857142854,42.857142857142854,28.57142857142857
 I hit the ground when trying to shoot a basket ball., I hit the ground when trying to shoot a basketball., I hit the ground when trying to shoot a basket ball., I hit the ground when trying to shoot a basketball, I hit the ground when trying to shoot a basketball., I hit the ground when trying to shoot a basketball.,i hit the ground when trying to shoot a basketball,train_sample_22.wav,train_sample_22.wav,30.0,30.0,10.0,20.0,20.0
 I can't walk well I have some and I can't walk in my foot.," I can't walk well, I have an ache in my foot.", I can't walk while I have an ackee in my foot., I can't walk well I have an egg in my foot, I can't walk while I have an ackee in my foot., I can't walk well. I have an ache in my foot.,I can't walk well I have an ache in my foot,train_sample_23.wav,train_sample_23.wav,54.54545454545454,27.27272727272727,9.090909090909092,18.181818181818183,27.27272727272727
 My biceps started aching after I went to the gym., My bicep started aching after I went to the gym., My bicep started aching after I went to the gym., My biceps started aching after I went to the gym., My biceps started aching after I went to the gym., My biceps started aching after I went to the gym.,My biceps started aching after I went to the gym,train_sample_24.wav,train_sample_24.wav,10.0,20.0,10.0,10.0,10.0
 I feel very much like where I climb this today., I feel pain in my neck when I climb the stairs., I feel pain in my neck when I climb the stairs., I feel pain in my neck when I climb the stairs., I feel pain in my neck when I climb the stairs., I feel pain in my neck when I climb the stairs.,I feel pain in my knee when I climb the stairs.,train_sample_25.wav,train_sample_25.wav,63.63636363636363,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092
 It feels like I can't take it deep breath., It feels like I can't take a deep breath., It feels like I can't take a deep breath., It feels like I can't take a deep breath., It feels like I can't take a deep breath., Mae'n teimlo nad ydw i'n gallu mynd i fyny'n dda.,It feels like I can't take a deep breath,train_sample_26.wav,train_sample_26.wav,22.22222222222222,11.11111111111111,11.11111111111111,111.11111111111111,11.11111111111111
 It feels like my heart is going to leap out of my body. It hurts., It feels like my heart is going to leap out of my body. It hurts., It feels like my heart is going to leap out of my body. It hurts., It feels like my heart is going to leap out of my body. It hurts., It feels like my heart is going to leap out of my body. It hurts., It feels like my heart is going to leap out of my body. It hurts.,It feels like my heart is going to leap out of my body. It hurts.,train_sample_27.wav,train_sample_27.wav,0.0,0.0,0.0,0.0,0.0
 When I get out of bed in the morning my body feels very weak.," When I get out of bed in the morning, my body feels very weak."," When I get out of bed in the morning, my body feels very weak.", When I get out of bed in the morning my body feels very weak., When I get out of bed in the morning my body feels very weak.," When I get out of bed in the morning, my body feels very weak.",When I get out of bed in the morning my body feels very weak.,train_sample_28.wav,train_sample_28.wav,0.0,7.142857142857142,0.0,7.142857142857142,0.0
 please send me a volume here., The last one looking and one of my neck markers. The one is so wide., Glass walking and warm mind erect muscles. The warm is so wide., Glass looking and warm my neck badly. The room is so wide., Clash the lockers and warm my legs back with. The one is so wide., Flash the rocket and run my leg back. The one is so wide.,glass broken and wound my leg badly the wound is so wide,train_sample_29.wav,train_sample_29.wav,100.0,75.0,66.66666666666666,66.66666666666666,83.33333333333334
 I cannot repeat my net., I cannot bet my net., I can't look at my neck., I cannot hit my neck., I can't rotate my neck., I can't rotate my neck.,i can't rotate my neck,train_sample_30.wav,train_sample_30.wav,80.0,80.0,80.0,40.0,40.0
" Thank you, thank you, thank you.", Make sure you subscribe to notaime., See you next time., Me back if you don't., miotaque hijo tiene mucho macho, Me cago en que hijo de chicho.,My back is hurting so much.,train_sample_31.wav,train_sample_31.wav,100.0,100.0,83.33333333333334,116.66666666666667,100.0
 I have disturbance in my emotion., I have disturbance in my emotion., I have disturbance in my emotion., I have disturbance in my emotion., I have disturbance in my emotion., I have disturbance in my emotion.,i have disterbance in my emotion,train_sample_32.wav,train_sample_32.wav,50.0,50.0,50.0,50.0,50.0
 I feel my heart hurts when I run for a long distance., I feel my heart hurts when I run for a long distance., I feel my heart hurts when I run for a long distance., I feel my heart hurts when I run for a long distance., I feel my heart hurts when I ran for a long distance., I feel my heart hurts when I run for a long distance.,I felt my heart hurts when I ran for along distance,train_sample_33.wav,train_sample_33.wav,45.45454545454545,45.45454545454545,45.45454545454545,45.45454545454545,36.36363636363637
 I have a pain in my joint., I have a pain in my joint., I have a pain in my joint., I have a pain in my joint., I have a pain in my joint., Mae gen i brofiad yn fy nghymddygiad.,I have a pain in my joint,train_sample_34.wav,train_sample_34.wav,14.285714285714285,14.285714285714285,14.285714285714285,100.0,14.285714285714285
" I will see how, and bring thebler space.", I use two-hat and then I do 15-0., I am Suha and I am going to do 16 years., I used to have an incredible 15 years., I used to have an adrenaline war 15 years., I used to have an adrenaline-picking deal.,I used to have acne when I was 15 years old,train_sample_35.wav,train_sample_35.wav,90.9090909090909,90.9090909090909,54.54545454545454,63.63636363636363,54.54545454545454
 I have disturbance in my emotion., I have disturbance in my emotion., I have disturbance in my emotion., I have disturbance in my emotion., I have disturbance in my emotion., I have disturbance in my emotion.,i have disterbance in my emotion,train_sample_36.wav,train_sample_36.wav,50.0,50.0,50.0,50.0,50.0
" When I get up, I feel dizzy and fall down."," When I get up, I feel dizzy and fall down."," When I get up, I feel dizzy and fall down."," When I get up, I feel dizzy and fall down."," When I get up, I feel dizzy and fall down."," When I get up, I feel dizzy and fall down.","when i get up, i feel dizzy and fall down.",train_sample_37.wav,train_sample_37.wav,30.0,30.0,30.0,30.0,30.0
 I have a pen in my muscles., I have a pain in my muscles., I have a pain in my muscles., I have a pain in my muscles., I have a pain in my muscles., I have a pain in my muscles.,I have a pain in my muscle,train_sample_38.wav,train_sample_38.wav,28.57142857142857,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285
 I feel increased heart rate with prick., I feel increased heart rate with prick., I feel increased heart rate with Prick., I feel increased heart rate with Prick., I feel increased heart rate with Prick., I feel increased heart rate with Prick.,I feel increased heart rate with prick,train_sample_39.wav,train_sample_39.wav,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285
 I usually have a bad cuff when I get through., I usually have a bad cut when I get food., I usually have a bad thought when I get through., I usually have a bad cough when I get through., I usually have a bad cough when I get flu, I usually have a bad cough when I get food.,I usually have a bad cough when I get flu.,train_sample_40.wav,train_sample_40.wav,20.0,20.0,10.0,10.0,10.0
 After playing football I have muscle pain with my both legs., After playing football I have muscle pain with my both legs., After playing football I have muscle pain with my both legs.," After playing football, I have muscle pain with both legs."," After playing football, I have muscle pain with my both legs."," After playing football, I have muscle pain with my both legs.","after playing football, i have muscle pain with my both legs.",train_sample_41.wav,train_sample_41.wav,27.27272727272727,27.27272727272727,27.27272727272727,18.181818181818183,18.181818181818183
 My hair always falls out and I have lost a lot of hair lately., My hair always falls out and I have lost a lot of hair lately., My hair always falls out and I have lost a lot of hair lately., My hair always falls out and I have lost a lot of hair lately., My hair always falls out and I have lost a lot of hair lately., my hair always falls out and I have lost a lot of hair lately,My hair always falls out and i have lost a lot of hair lately,train_sample_42.wav,train_sample_42.wav,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285
 when a white flight of stairs by rectity hertz., when I walk up the flight of stairs by rightly hurts., when a wide flight of stairs directly hurts.," when I walk up a flight of stairs, my right knee hurts."," When I walk on the flight of stairs, my right knee hurts."," When I walk up the flight of stairs, my right knee hurts.","When I walk up a flight of stairs, my right knee hurts.",train_sample_43.wav,train_sample_43.wav,83.33333333333334,75.0,8.333333333333332,8.333333333333332,16.666666666666664
 I have a shop being in my lower stomach., I have a sharp bean in my lower stomach., I have a sharp pain in my lower stomach., I have a sharp pain in my lower stomach., I have a sharp pain in my lower stomach., I have a sharp pain in my lower stomach.,I have a sharp pain in my lower stomach.,train_sample_44.wav,train_sample_44.wav,22.22222222222222,0.0,0.0,0.0,0.0
 I have cloudy eyes., I have cloudy eyes., I have cloudy eyes., I have glowdy eyes., I have cloudy eyes., I have cloudy eyes.,I have cloudy eyes,train_sample_45.wav,train_sample_45.wav,25.0,25.0,50.0,25.0,25.0
 I feel like I fell in hot water., I feel like I fell in hot water., I feel like I fell in hot water., I feel like I fell in the hot water., I feel like I fell in the hot water., I feel like I fell in the hot water.,I feel like l fell in hot water,train_sample_46.wav,train_sample_46.wav,25.0,25.0,37.5,37.5,37.5
 my joints a whenever it is cold, My joints ache whenever it is cold., My joints ache whenever it is cold., my joints ache whenever it is cold, My joints ache whenever it is cold., My joints ache whenever it is cold.,My joints ache whenever it is cold,train_sample_47.wav,train_sample_47.wav,28.57142857142857,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285
 chronic disease of hair follicles and sebaceous glands., chronic disease of hair follicles and sebaceous glands., chronic disease of hair follicles and sebaceous glands., chronic disease of hair follicles and sebaceous glands., chronic disease of hair follicles and sebaceous glands., chronic disease of hair follicles and sebaceous glands.,chronic disease of hair follicles and sebaceous glands.,train_sample_48.wav,train_sample_48.wav,0.0,0.0,0.0,0.0,0.0
 My ear hurts me badly., My ear hurts me badly., My ear hurts me badly., My ear hurts me badly., My ear hurts me badly., My ear hurts me badly.,my ear hurts me badly,train_sample_49.wav,train_sample_49.wav,40.0,40.0,40.0,40.0,40.0
 I hit my head at the basketball game. Could I have a concussion?, I hit my head at the basketball game. Could I have a conclusion?, I hit my head at the basketball game. Could I have a concussion?, I hit my head at the basketball game. Could I have a concussion?, I hit my head at the basketball game. Could I have a concussion?, I hit my head at the basketball game. Could I have a concussion?,I hit my head at the basketball game.  Could I have a concussion?,train_sample_50.wav,train_sample_50.wav,0.0,0.0,0.0,0.0,0.0
 I have a sharp pain in my neck., I have a sharp pain in my neck., I have a sharp pain in my neck., I have a sharp pain in my neck., I have a sharp pain in my neck., I have a sharp pain in my neck.,I have a sharp pain in my neck,train_sample_51.wav,train_sample_51.wav,12.5,12.5,12.5,12.5,12.5
 My Samgot attached to several weeks ago and the screen around 8 is reached and hot and it looks infitted., My sun gold attached to several weeks ago and the skin around it is reached and hot and it looks infected., My sun board attached to several weeks ago and the screen around it is red and hot and it looks inflated., My sun got attacked several weeks ago and the screen around it is red and hot and it looks infected., My son goat attacked several weeks ago and the skin around 8 is rizzed and hot and it looks infitted., माई संगोट अटाइट तु सर्वल विक्स एगो आण दा स्किन अराउन इट इच रीज्ड आण हाट आण इट लोक्स इन फिटेड।,My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,train_sample_52.wav,train_sample_52.wav,38.095238095238095,33.33333333333333,23.809523809523807,100.0,28.57142857142857
 I have a dull ink in my head., I have a dull ache in my head., I have adult 8 in my head., I have a dull ache in my head., I have a dull ache in my head., I have a dull ache in my head.,I have a dull ache in my head,train_sample_53.wav,train_sample_53.wav,25.0,50.0,12.5,12.5,12.5
 I feel cold chills even though my clothes are heavy., I feel cold chills even though my clothes are heavy., I feel cold chills even though my clothes are heavy., I feel cold chills even though my clothes are heavy., I feel cold chills even though my clothes are heavy., I feel cold chills even though my clothes are heavy.,I feel cold and chills even though my clothes are heavy,train_sample_54.wav,train_sample_54.wav,18.181818181818183,18.181818181818183,18.181818181818183,18.181818181818183,18.181818181818183
 I feel this after doing a most lot of power., I feel better after doing a most larger tour., I feel better after doing a most lot of work., I feel this after doing a muscle-art at all., I feel better after doing a moonslider for, I feel different after doing a moose ladder for,I feel dizzy after doing a muscular effort.,train_sample_55.wav,train_sample_55.wav,62.5,62.5,50.0,50.0,37.5
 It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and it throws., It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and it throws., It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and it thrombs., It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and it throbs., It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and it throbes., It feels like someone is hitting my head with a hammer. I feel pain on the top of my head and it throbs.,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,train_sample_56.wav,train_sample_56.wav,4.3478260869565215,4.3478260869565215,0.0,0.0,4.3478260869565215
" I get tired too fast, I can barely put on my clothes in the morning.", I get tired too fast. I can barely put on my clothes in the morning., I get tired too fast. I can barely put on my clothes in the morning., I get tired too fast. I can barely put on my clothes in the morning., I get tired too fast. I can barely put on my clothes in the morning., I get tired too fast. I can barely put on my clothes in the morning.,"I get tired too fast, I can barely put on my clothes in the morning.",train_sample_57.wav,train_sample_57.wav,0.0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667
 I have a splitter my thumb that will not heal., I haven't split on my thumb that will not heal., I have a split on my thumb that will not heal., I have a split on my thumb that will not heal., I have a split on my thumb that will not heal., I have a split on my thumb that will not heal.,I have a split on my thumb that will not heal.,train_sample_58.wav,train_sample_58.wav,18.181818181818183,0.0,0.0,0.0,0.0
" Oh, my heart hurts me. I tried to become and I can't."," Oh, my heart hurts me. I tried to be calm and I can't."," Oh, my heart hurts me. I tried to be calm and I can't."," Oh, my heart hurts me. I tried to be calm and I can't."," Oh, my heart hurts me. I tried to be calm, and I can't."," Oh, my heart hurts me. I tried to be calm, and I can't.",Oh my heart hurts me I tried to be calm and I can't,train_sample_59.wav,train_sample_59.wav,38.46153846153847,23.076923076923077,23.076923076923077,30.76923076923077,30.76923076923077
 I got injured exercising., I got injured exercising., I got injured exercising., I got injured exercising., I got injured exercising., I got injured exercising.,I got injured exercising,train_sample_60.wav,train_sample_60.wav,25.0,25.0,25.0,25.0,25.0
 biink of sugar tea.," I am exponential reason, that is not for myism."," I am flies and l Pokéstone, Marist I dinosaur form I"," I am Pines of the Eastman, but it's not for my job.", I am free of salvation. But it's not for my job., I am pretty sure this is it. Very stuff for my job.,"i am feeling so dizzy, body is so fragile.",train_sample_61.wav,train_sample_61.wav,100.0,111.11111111111111,122.22222222222223,122.22222222222223,111.11111111111111
 My cup is very heavy and I am a curse., My cup is very heavy and I am cursed., My cup is very heavy and I am cuz., My cup is very heavy and I am cuz, My cup is very heavy and I am cuss., My cup is very heavy and I am cursed.,My cough is very heavy and I have mucus.,train_sample_62.wav,train_sample_62.wav,44.44444444444444,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
 There is a sharp pain in my car., There is a sharp pain in my car., There is a sharp pain in my car., There is a sharp pain in my car., There is a sharp pain in my column., There is a sharp pain in my calf.,There is a sharp pain in my calve.,train_sample_63.wav,train_sample_63.wav,12.5,12.5,12.5,12.5,12.5
 There is your star film is by side., hearts," here is the circle, guys", There is a shark in my bicep, There is a shark in my bicep, একটি সার্থ পেনি মাই বাইসে,There is a sharp pain in my bicep,train_sample_64.wav,train_sample_64.wav,75.0,87.5,25.0,100.0,25.0
 My husband left me for another woman. My heart hurts so badly to the point I can't eat or sleep," My husband left me for another woman. My heart hurts so badly. To the point, I can't eat or sleep.", My husband left me for another woman my heart hurts so badly To the point I can't eat or sleep, My husband left me for another woman. My heart hurts so badly to the point I can't eat or sleep., My husband left me for another woman. My heart hurts so badly to the point I can't eat or sleep., My husband left me for another woman. My heart hurts so badly To the point I can't eat or sleep,"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",train_sample_65.wav,train_sample_65.wav,15.0,15.0,10.0,20.0,10.0
 I have opened cuff with excess mucus need mucology., I have open cuff with excess mucus need mucolytic., I have whooping cuff with excess mucus need mucolytic, I have whooping cuff with excess mucus need mucolytic, I have whooping cuff with excess mucus need mucolytic, I have whooping cough with excess mucus need mucolytic,"i have whooping cough with excess mucous, need mucolytic.",train_sample_66.wav,train_sample_66.wav,55.55555555555556,44.44444444444444,44.44444444444444,33.33333333333333,44.44444444444444
 I break out on my face very frequently., I break out on my face very frequently., I break out on my face very frequently., I break out on my face very frequently., I break out on my face very frequently., I break out on my face very frequently,I break out on my face very frequently,train_sample_67.wav,train_sample_67.wav,12.5,12.5,12.5,0.0,12.5
" I cannot break because of the other, my left shoulder.", I cannot breathe because of the other latch below my left shoulder, I cannot breathe because of the adult edge below my left shoulder., I cannot breathe because of the adolage below my left shoulder., I cannot breathe because of the adult latch below my left shoulder., I cannot breathe because of the other light below my left shoulder,I cannot breathe because of this dull ache below my left shoulder.,train_sample_68.wav,train_sample_68.wav,41.66666666666667,25.0,25.0,33.33333333333333,25.0
 My ear hurts me badly., My ear hurts me badly., My ear hurts me badly., My ear hurts me badly., My ear hurts me badly., My ear hurts me badly.,my ear hurts me badly,train_sample_69.wav,train_sample_69.wav,40.0,40.0,40.0,40.0,40.0
 I lose a lot of my hair., I loose a lot of my hair., I lose a lot of my hair., I lose a lot of my hair., I lose a lot of my hair., Saya kehilangan banyak rambut.,I lose a lot of my hair,train_sample_70.wav,train_sample_70.wav,14.285714285714285,14.285714285714285,14.285714285714285,100.0,14.285714285714285
 My heart is pumping first and I am having a hard time to breath., My heart is pumping fast and I am having a hard time to breath., My heart is pumping first and I am having a hard time to breathe., My heart is pumping fast and I am having a hard time to breath., My heart is pumping fast and I am having a hard time to breathe., My heart is pumping fast and I am having a hard time to breath.,My heart is pumping fast and I'm having a hard time to breath.,train_sample_71.wav,train_sample_71.wav,23.076923076923077,30.76923076923077,15.384615384615385,15.384615384615385,23.076923076923077
 The civil repaying in this to make I feel., The silver repaying in this to make eye feel., The silvery paint in this to make eye-fear.," The silver repaint in the stomach, I fear.", The severe pain in the stomach I feel., the severe pain in the stomach I feel.,The severe pain in the stomach I feel,train_sample_72.wav,train_sample_72.wav,75.0,75.0,50.0,25.0,12.5
