filename,transcription
train_sample_35.wav,I used to have acne when I was 15 years old
train_sample_36.wav,i have disterbance in my emotion
train_sample_37.wav,"when i get up, i feel dizzy and fall down."
train_sample_38.wav,I have a pain in my muscle
train_sample_39.wav,I feel increased heart rate with prick
train_sample_40.wav,I usually have a bad cough when I get flu.
train_sample_41.wav,"after playing football, i have muscle pain with my both legs."
train_sample_42.wav,My hair always falls out and i have lost a lot of hair lately
train_sample_43.wav,"When I walk up a flight of stairs, my right knee hurts."
train_sample_44.wav,I have a sharp pain in my lower stomach.
train_sample_45.wav,I have cloudy eyes
train_sample_46.wav,I feel like l fell in hot water
train_sample_47.wav,My joints ache whenever it is cold
train_sample_48.wav,chronic disease of hair follicles and sebaceous glands.
train_sample_49.wav,my ear hurts me badly
train_sample_50.wav,I hit my head at the basketball game.  Could I have a concussion?
train_sample_51.wav,I have a sharp pain in my neck
train_sample_52.wav,My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.
train_sample_53.wav,I have a dull ache in my head
train_sample_54.wav,I feel cold and chills even though my clothes are heavy
train_sample_55.wav,I feel dizzy after doing a muscular effort.
train_sample_56.wav,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.
train_sample_57.wav,"I get tired too fast, I can barely put on my clothes in the morning."
train_sample_58.wav,I have a split on my thumb that will not heal.
train_sample_59.wav,Oh my heart hurts me I tried to be calm and I can't
train_sample_60.wav,I got injured exercising
train_sample_61.wav,"i am feeling so dizzy, body is so fragile."
train_sample_62.wav,My cough is very heavy and I have mucus.
train_sample_63.wav,There is a sharp pain in my calve.
train_sample_64.wav,There is a sharp pain in my bicep
train_sample_65.wav,"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep."
train_sample_66.wav,"i have whooping cough with excess mucous, need mucolytic."
train_sample_67.wav,I break out on my face very frequently
train_sample_68.wav,I cannot breathe because of this dull ache below my left shoulder.
train_sample_69.wav,my ear hurts me badly
train_sample_70.wav,I lose a lot of my hair
train_sample_71.wav,My heart is pumping fast and I'm having a hard time to breath.
train_sample_72.wav,The severe pain in the stomach I feel
train_sample_73.wav,I feel great pain in my feet after playing one of the sports games
train_sample_74.wav,I could not exercise because of my knee pain
train_sample_75.wav,my neck hurts me and i can't look down or up
train_sample_76.wav,I feel suicidal.
train_sample_77.wav,My head hurts whenever I try to do something.
train_sample_78.wav,I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.
train_sample_79.wav,I have blurry vision after I used a wrong medicine.
train_sample_80.wav,I have tried to relief it but I can't
train_sample_81.wav,I have general discomfort in my torso.
train_sample_82.wav,When I brush my hair I notice big clumps of hair coming out in the brush.
train_sample_83.wav,I can't get a girlfriend because of my acne.
train_sample_84.wav,"can't do any exercise, i feel weak"
train_sample_85.wav,"i can't walk, my knee hurts me"
train_sample_86.wav,Sometimes I feel like a claw on my chest that leaves me breathless.
train_sample_87.wav,I wake up at night feeling cold
train_sample_88.wav,I'm very worried that I'll go bald soon. Am I very sick?
train_sample_89.wav,I got injured exercising
train_sample_90.wav,When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me
train_sample_91.wav,My shoulder hurts me so much
train_sample_92.wav,I have a ear ache when I go to the pool
train_sample_93.wav,The area around my heart doesn't feel good.
train_sample_94.wav,"my cbc report indicate 10 hb, i feel tired of little work."
train_sample_95.wav,i was travelling by ship and i feel dizzy.
train_sample_96.wav,I feel like the room is spinning
train_sample_97.wav,I have a back pain since I turned 70 years old.
train_sample_98.wav,My sore isn't healing well and it's been like this for two weeks.
train_sample_99.wav,i feel pain in my knee
train_sample_100.wav,I feel muscle pain every time I make an extra effort.
train_sample_101.wav,It hurts when I bent my arm
train_sample_102.wav,"I cough a lot when I smell perfume, what is wrong with my lungs?"
train_sample_103.wav,My grandmother last year went to hospital because she was having a hard time breathing
train_sample_104.wav,I'm not feeling good I can't take my breath
train_sample_105.wav,What helps cuts heal faster?
train_sample_106.wav,"I hardly have enough stength to get up,"
train_sample_107.wav,I have a red rash that is itchy on my skin
train_sample_108.wav,A terrible fall in hair
train_sample_109.wav,i feel sad
train_sample_110.wav,My head hurts when I'm doing this.
train_sample_111.wav,i have a problem in my middle ear made by infection
train_sample_112.wav,It hurts when I raise my arm up
train_sample_113.wav,Everything looks like beeing in a smoky area.
train_sample_114.wav,My shoulder muscle hurts when I try to reach up.
train_sample_115.wav,I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.
train_sample_116.wav,Hearing any loud sounds makes my ear aches
train_sample_117.wav,I feel shoulder pain at intervals of time.
train_sample_118.wav,I think there's fluid in my ears.
train_sample_119.wav,"My hair is coming out in chunks, especially when I wash it"
train_sample_120.wav,There are some pimples on my face that bother me a lot
train_sample_121.wav,When I sneeze very hard I feel ear ache
train_sample_122.wav,I feel aching on my insides.
train_sample_123.wav,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.
train_sample_124.wav,My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.
train_sample_125.wav,"Laceration, rupture or opening in the skin"
train_sample_126.wav,I wake up at night feeling cold
train_sample_127.wav,The pain in my ear is unbearable.
train_sample_128.wav,I have the impression of having no strength in my body
train_sample_129.wav,i can't see well
train_sample_130.wav,My stomach has been sore since yesterday.
train_sample_131.wav,"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?"
train_sample_132.wav,The severe pain in the stomach I feel
train_sample_133.wav,Chronic bowel Pain
train_sample_134.wav,I have a pain in my muscle
train_sample_135.wav,When I stand up too quick my vision is blurry.
train_sample_136.wav,How do you know if you have a torn meniscus in your knee?
train_sample_137.wav,I was kicked in the head playing soccer last night.
train_sample_138.wav,I think I sprained my ankle it really hurts.
train_sample_139.wav,My shoulder hurts when I try to reach something above my head.
train_sample_140.wav,I have shooting pains up and down my back.
train_sample_141.wav,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.
train_sample_142.wav,My chest hurts when I smoke
train_sample_143.wav,I am having running nose
train_sample_144.wav,My hair is falling out after I take a shower.
train_sample_145.wav,I feel pain when parting loved ones
train_sample_146.wav,I have a pain in my head
train_sample_147.wav,I can't sleep I have a hard cough
train_sample_148.wav,My infected wound caused a fever
train_sample_149.wav,"my cbc report indicate 10 hb, i feel tired of little work."
train_sample_150.wav,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open"
train_sample_151.wav,My body feels like it's in a refrigerator.
train_sample_152.wav,"I think there's something wrong with my wound, it does not seem to heal like it should."
train_sample_153.wav,Every time I comb my hair there are so many hair in my comb.
train_sample_154.wav,I think I sprained my ankle it really hurts.
train_sample_155.wav,I have pimples in patches along with a lot of redness on my face.
train_sample_156.wav,When I tried to be warm and wear more clothes I found that I was still cold
train_sample_157.wav,I feel a burning sensation in my shoulder muscle.
train_sample_158.wav,I have a pain in my joint
train_sample_159.wav,My hair is falling out in bunches.
train_sample_160.wav,My skin is itchy and inflamed
train_sample_161.wav,I have a powerful pain inside my neck
train_sample_162.wav,I have some terrible problems when i'm breathing during the night.
train_sample_163.wav,I feel pain in my shoulders when I write on the keyboard.
train_sample_164.wav,I feel back pain when I carry heavy things
train_sample_165.wav,"Laceration, rupture or opening in the skin"
train_sample_166.wav,When I play football I have muscle pain.
train_sample_167.wav,I feel a sharp pain in my head when I think too hard.
train_sample_168.wav,It itches inside my ears.
train_sample_169.wav,It feels like I can't take a deep breath
train_sample_170.wav,My wound was infected when i was planting some flowers in my garden
train_sample_171.wav,"My head hurts and I lose the sensation in my face, then lose sight in my eye"
train_sample_172.wav,When I wake up in the morning I feel a soreness in my body
train_sample_173.wav,My head gets dizzy when I try to get up.
train_sample_174.wav,I feel like the world goes round and round
train_sample_175.wav,The severe pain in the stomach I feel
train_sample_176.wav,My ear is ringing.
train_sample_177.wav,My shoulder has agreat pain
train_sample_178.wav,standing less than five minutes and my back start to ache
train_sample_179.wav,I could not exercise because of my knee pain
train_sample_180.wav,I feel a burning sensation in my shoulder muscle.
train_sample_181.wav,"It started as a tinnitus, but today the pain is throbbing and unbearable."
train_sample_182.wav,When I force my eyes to view I have blurry vision.
train_sample_183.wav,I have front head pain and when I get it the light bothers me.
train_sample_184.wav,I have some pain when i'm walking around my knees
train_sample_185.wav,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
train_sample_186.wav,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.
train_sample_187.wav,When I stand up too quickly I feel as though I'm going to faint.
train_sample_188.wav,my hair falling out
train_sample_189.wav,My skin is itchy and inflamed
train_sample_190.wav,"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens."
train_sample_191.wav,i have issue with my skin
train_sample_192.wav,"My skin color on my back is red, I don't know why."
train_sample_193.wav,I feel pain inside I do not know what it is
train_sample_194.wav,When I eat sugar I notice my vision blurs.
train_sample_195.wav,My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.
train_sample_196.wav,Something dark is there on my arm
train_sample_197.wav,Is pimples a skin disease?
train_sample_198.wav,My head gets dizzy when I try to get up.
train_sample_199.wav,The acne was causing me to feel embarrassed.
train_sample_200.wav,The wound is still open
train_sample_201.wav,Yesterday I had a shouder pain
train_sample_202.wav,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.
train_sample_203.wav,I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.
train_sample_204.wav,When I brush my hair I notice big clumps of hair coming out in the brush.
train_sample_205.wav,I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.
train_sample_206.wav,I have a pain in my head
train_sample_207.wav,I don't have the energy to do the things that I used to
train_sample_208.wav,I have a cut that is red and swollen.
train_sample_209.wav,"My body feels weak after my first day in the gym, why?"
train_sample_210.wav,I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.
train_sample_211.wav,"I hardly have enough stength to get up,"
train_sample_212.wav,Need to scratch my skin every minute
train_sample_213.wav,I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.
train_sample_214.wav,I can't stand with this horrible feeling in my stomach
train_sample_215.wav,My body feels like it's in a refrigerator.
train_sample_216.wav,My entire body is freezing.
train_sample_217.wav,I feel pain inside I do not know what it is
train_sample_218.wav,My face break out badly every month around my cycle.
train_sample_219.wav,Sometimes my body feels week without reason
train_sample_220.wav,I have a mental suffering
train_sample_221.wav,i have issue with my skin
train_sample_222.wav,I have a painful cramp in my feet
train_sample_223.wav,"i can't move my leg, there is pain in the joint"
train_sample_224.wav,I have acne in my face and other problema in my derma like itching
train_sample_225.wav,I can't stand with this horrible feeling in my stomach
train_sample_226.wav,I love to walk and be outside but the bottoms of my feet get sore so quickly.
train_sample_227.wav,I feel a bone-on-bone pain in my knees when I climb stairs.
train_sample_228.wav,I feel muscle pain every time I make an extra effort.
train_sample_229.wav,My knee doesn't want to bend well.
train_sample_230.wav,I have an open wound in my arm
train_sample_231.wav,I can't see the sign I have a blurry vision
train_sample_232.wav,My head ache since I woke up this morning.
train_sample_233.wav,I have a pain in my muscle
train_sample_234.wav,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.
train_sample_235.wav,"I get tired too fast, I can barely put on my clothes in the morning."
train_sample_236.wav,"i walked a long for 3 km, i feel pain in my foot like foot ache"
train_sample_237.wav,I feel a tightness in my chest
train_sample_238.wav,I have a cut that has become red and oozes puss.
train_sample_239.wav,Need to scratch my skin every minute
train_sample_240.wav,"i was diagnosed with pneumonia, i can't breath easily."
train_sample_241.wav,i can't move my shoulder because of pain
train_sample_242.wav,I have an internal pain I cannot describe
train_sample_243.wav,When I eat too much sugar my body gets weak and dizzy.
train_sample_244.wav,I was kicked in the head playing soccer last night.
train_sample_245.wav,When I stand up too quickly I start to feel dizzy and light-headed
train_sample_246.wav,I got acne when I ate chili
train_sample_247.wav,"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid."
train_sample_248.wav,I have a scab on the back of my hand that just won't go away.
train_sample_249.wav,i was travelling by ship and i feel dizzy.
train_sample_250.wav,I feel pain in my eyes I can see fog
train_sample_251.wav,My knees hurt so bad to walk that I stay sitting more than I should.
train_sample_252.wav,I feel deep Tingling when I touch Acne followed by bad sensation
train_sample_253.wav,"i can't walk, my knee hurts me"
train_sample_254.wav,I have a lot of mucus when I cough.
train_sample_255.wav,When i'm awake in the morning I feel strange and have vertigo
train_sample_256.wav,My acne gets worse when it is hot
train_sample_257.wav,I was kicked in the head playing soccer last night.
train_sample_258.wav,Sterilizer for the eye
train_sample_259.wav,My wound opened up again
train_sample_260.wav,i have injured myself during the soccer match
train_sample_261.wav,When I get out of bed in the morning my body feels very weak.
train_sample_262.wav,my hair isn't well
train_sample_263.wav,When I play football I have muscle pain.
train_sample_264.wav,Can't keep focus
train_sample_265.wav,I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.
train_sample_266.wav,When I tried to be warm and wear more clothes I found that I was still cold
train_sample_267.wav,I toppled over while jumping to catch the ball.
train_sample_268.wav,My neck has been sore since the accident.
train_sample_269.wav,My shoulder muscle hurts when I try to reach up.
train_sample_270.wav,I got injured exercising
train_sample_271.wav,I feel a strange and powerful pain inside my rib cage
train_sample_272.wav,I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.
train_sample_273.wav,My arm hurts when I stretch
train_sample_274.wav,When I think of my parents I feel pain
train_sample_275.wav,"I am worried how cold intolerant I am, I am always shivering, even out in the sun."
train_sample_276.wav,I cannot get warm no matter how much I wrap up or how high I put the heating on
train_sample_277.wav,After a breakup  I feel something strange in me.
train_sample_278.wav,I feel a burning sensation in my guts about 2 hours after each meal.
train_sample_279.wav,My hair is falling out in bunches.
train_sample_280.wav,I feel suicidal.
train_sample_281.wav,I had a sharp pain in my stomach
train_sample_282.wav,I get chills and aches all over.
train_sample_283.wav,The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.
train_sample_284.wav,I hit myself and the would doesn't want to heal
train_sample_285.wav,"i am feeling so dizzy, body is so fragile."
train_sample_286.wav,My knee is hurting so badly.
train_sample_287.wav,I have blurry vision after I used a wrong medicine.
train_sample_288.wav,When I sneeze very hard I feel ear ache
train_sample_289.wav,My hair is falling out after I take a shower.
train_sample_290.wav,itch at front and center of scalp
train_sample_291.wav,i have a problem in my middle ear made by infection
train_sample_292.wav,"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop."
train_sample_293.wav,i have difficulty moving my neck
train_sample_294.wav,My chest acne breaks out and never clears up.
train_sample_295.wav,I feel something hurt me in taking breath and I cant take my breath
train_sample_296.wav,I have a rash and it itches very bad.
train_sample_297.wav,i have a great pain in my foot like thrombing pain with relaxing my pain releif
train_sample_298.wav,My body feels weak and i think that my face is fade and i can't sleep well
train_sample_299.wav,my temperature dropped and my body get synosed
train_sample_300.wav,when i wake up in the morning i feel dizzy
train_sample_301.wav,Anytime I play tennis I feel a shoulder pain
train_sample_302.wav,I love to garden but I get a terrible twinge in my lower back when I lean over.
train_sample_303.wav,My hair is falling out in bunches.
train_sample_304.wav,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.
train_sample_305.wav,i have shoulder pain after doing any home work.
train_sample_306.wav,My muscles in my lower back are aching
train_sample_307.wav,I feel like my heart is on fire.
train_sample_308.wav,I can't stand with this horrible feeling in my stomach
train_sample_309.wav,I feel a sharp pain in the stomach after eating
train_sample_310.wav,My head hurts when I'm doing this.
train_sample_311.wav,I can hardly move my neck.  It hurts.
train_sample_312.wav,Everything looks like beeing in a smoky area.
train_sample_313.wav,"i can't walk, my knee hurts me"
train_sample_314.wav,i am having problems seeing things feel like a cloud on my eyes everything is blurry
train_sample_315.wav,It itches inside my ears.
train_sample_316.wav,"i was playing basketball yesterday, i have sprained ankle"
train_sample_317.wav,When I think of my parents I feel pain
train_sample_318.wav,"i walked a long for 3 km, i feel pain in my foot like foot ache"
train_sample_319.wav,I can't stand up or sit down I have a pain in my back that annoys me
train_sample_320.wav,Every time it rains I get hives on my belly and sides.
train_sample_321.wav,I have a throbbing in my joints
train_sample_322.wav,I complain alot with skin allergy
train_sample_323.wav,The pain feels like it's right below the skin
train_sample_324.wav,I can't get a girlfriend because of my acne.
train_sample_325.wav,Hearing any loud sounds makes my ear aches
train_sample_326.wav,My hair is falling out in bunches.
train_sample_327.wav,my abdominal muscles have great pain since i was at GYM
train_sample_328.wav,There is a tingling sensation in my neck.
train_sample_329.wav,"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens."
train_sample_330.wav,I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.
train_sample_331.wav,The wound is still open
train_sample_332.wav,I have throbing in my shoulder
train_sample_333.wav,"When I drink a lot, I get a headache"
train_sample_334.wav,I feel a great amount of pressure on the sides of my neck
train_sample_335.wav,I don't have the energy to do the things that I used to
train_sample_336.wav,I feel a sharp pain in my head when I think too hard.
train_sample_337.wav,It feels like someone stuck a knife into my shoulder
train_sample_338.wav,"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break."
train_sample_339.wav,What helps cuts heal faster?
train_sample_340.wav,I feel like I went to an acupuncture's practice and had 100 needles in my shoulder
train_sample_341.wav,My foot is hurting so much.
train_sample_342.wav,I have a neck pain when I sit in-front of my laptop.
train_sample_343.wav,I lose a lot of my hair
train_sample_344.wav,I feel pain in my joint after an injury in the last football match I played.
train_sample_345.wav,"I have a blurry vision and i can't see in the darkness , what is the reason doctor ?"
train_sample_346.wav,My acne itches and oozes.
train_sample_347.wav,When I wake up in the morning I feel a soreness in my body
train_sample_348.wav,I have constant stomach pain and bloating.
train_sample_349.wav,"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee."
train_sample_350.wav,I have throbing in my shoulder
train_sample_351.wav,"I can't stand up, I feel my brain is moving inside my skull."
train_sample_352.wav,I think I sprained my ankle it really hurts.
train_sample_353.wav,i feel pain in my knee
train_sample_354.wav,when i raise my hand i feel pain in my shoulder.
train_sample_355.wav,heart aches so much
train_sample_356.wav,I have a headache every time I eat ice cream
train_sample_357.wav,Every time I take a deep breath I start coughing
train_sample_358.wav,These red spots on my cheeks are new. What is it?
train_sample_359.wav,I feel deep Tingling when I touch Acne followed by bad sensation
train_sample_360.wav,i cant breathe
train_sample_361.wav,I get clusters of pimples on my face that never go away.
train_sample_362.wav,I have a lot of knee pain whenever I go running.
train_sample_363.wav,"When I drink a lot, I get a headache"
train_sample_364.wav,I have a sharp pain in my lower stomach.
train_sample_365.wav,My body feels weak and i think that my face is fade and i can't sleep well
train_sample_366.wav,"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens."
train_sample_367.wav,I complain alot with skin allergy
train_sample_368.wav,I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.
train_sample_369.wav,I hit my head at the basketball game.  Could I have a concussion?
train_sample_370.wav,Pain in the large neck
train_sample_371.wav,I feel dizzy whenever I stand up.
train_sample_372.wav,"I feel a pain on the left side of my chest, where my heart is"
train_sample_373.wav,The acne was causing me to feel embarrassed.
train_sample_374.wav,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
train_sample_375.wav,My ear is ringing.
train_sample_376.wav,"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee."
train_sample_377.wav,I have pain in my colon and my stomach like something cutting it
train_sample_378.wav,I have a rash on my skin
train_sample_379.wav,I'm very worried that I'll go bald soon. Am I very sick?
train_sample_380.wav,I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.
train_sample_381.wav,A terrible fall in hair
train_sample_382.wav,When I walk it's hard to breath.
train_sample_383.wav,My ear is ringing.
train_sample_384.wav,i have a problem in my back i cannot extend it
train_sample_385.wav,I had alot of exercise yesterday so i feel sharp muscle pains
train_sample_386.wav,My grandmother last year went to hospital because she was having a hard time breathing
train_sample_387.wav,i have a problem in my back i cannot extend it
train_sample_388.wav,I have a dry throat
train_sample_389.wav,There is an injured person
train_sample_390.wav,"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop."
train_sample_391.wav,I can't turn my neck to the left without feeling a stabbing pain
train_sample_392.wav,When i'm driving my eyes see in double
train_sample_393.wav,I feel back pain when I carry heavy things
train_sample_394.wav,I have a hair shortage
train_sample_395.wav,When I'm tired I feel my head heavy
train_sample_396.wav,I feel emotionally crushed
train_sample_397.wav,I feel discomfort throughout the body in general
train_sample_398.wav,The acne was causing me to feel embarrassed.
train_sample_399.wav,When I do hard exercises I feel great pain in my muscles.
train_sample_400.wav,My kneecap feels like it is grating bone on bone when I walk.
train_sample_401.wav,severe pain in the upper left side of chest and may have pain to back
train_sample_402.wav,I can't do anything I feel a weak in my body
train_sample_403.wav,i have pain but i can't specify place
train_sample_404.wav,There is so much pain when I move my arm.
train_sample_405.wav,My body feels like it's in a refrigerator.
train_sample_406.wav,i feel pain in my foot
train_sample_407.wav,"I may have overdone it with the weightlifting, because I am afraid I may have torn a muscle on my back."
train_sample_408.wav,After walking I have some pain under my foot
train_sample_409.wav,I feel a pain in my neck
train_sample_410.wav,My infected wound caused a fever
train_sample_411.wav,I have a pain in my muscle
train_sample_412.wav,Can't keep focus
train_sample_413.wav,I hit myself and the would doesn't want to heal
train_sample_414.wav,Stomach pain after drinking milk
train_sample_415.wav,my neck hurts me and i can't look down or up
train_sample_416.wav,"My body feels weak after my first day in the gym, why?"
train_sample_417.wav,The knee feels like it rusted and I suddenly cannot bend it anymore.
train_sample_418.wav,My hair is falling out after I take a shower.
train_sample_419.wav,i have disterbance in my emotion
train_sample_420.wav,My body aches on the inside between my hips and shoulders.
train_sample_421.wav,I have a hair shortage
train_sample_422.wav,My calves feel like they are tight as knots and are throbbing
train_sample_423.wav,I feel pain in my shoulders when I write on the keyboard.
train_sample_424.wav,my heart hurts me
train_sample_425.wav,there is acne on my face
train_sample_426.wav,I had a pain in my knee when I was swimming
train_sample_427.wav,"When I move on my shoulder, pain shoots down my arm"
train_sample_428.wav,I feel a great pain in my shoulder joint and it does not go away
train_sample_429.wav,Why is my shoulder aching when I try to pick up the laundry?
train_sample_430.wav,I have a cut on my foot that became infected from using the showers at the gym.
train_sample_431.wav,My knee doesn't want to bend well.
train_sample_432.wav,"Annoyance starts suddenly, often after an injury or exercise."
train_sample_433.wav,I can't move my head up and down.
train_sample_434.wav,"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary."
train_sample_435.wav,I feel pain in my back
train_sample_436.wav,I feel shoulder pain at intervals of time.
train_sample_437.wav,It is like I have a needle pushing through my heart.
train_sample_438.wav,i can't move my shoulder because of pain
train_sample_439.wav,When I get out of bed in the morning my body feels very weak.
train_sample_440.wav,I have an indigestion
train_sample_441.wav,I'm feeling nauseous
train_sample_442.wav,My muscles in my lower back are aching.
train_sample_443.wav,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.
train_sample_444.wav,My right shoulder clicks when I move my arm.
train_sample_445.wav,when i raise my hand i feel pain in my shoulder.
train_sample_446.wav,My neck has been sore since the accident.
train_sample_447.wav,My head hurts in the back and the pain lasts all day.
train_sample_448.wav,there is a red stain in my skin
train_sample_449.wav,My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.
train_sample_450.wav,"It is hard to breath when I am in the underground metro station, why?"
train_sample_451.wav,"i feel hurt, lot of pain in my heart"
train_sample_452.wav,It hurts when I raise my arm up
train_sample_453.wav,I don't have full range of motion with my arms
train_sample_454.wav,I feel pain in the knee when walking
train_sample_455.wav,i cant sleep because of cough
train_sample_456.wav,I got injured exercising
train_sample_457.wav,i can't breath because of  Cough
train_sample_458.wav,i have a strong shoulder pain
train_sample_459.wav,My chest break out with red pimples and whiteheads.
train_sample_460.wav,i'm disappointed
train_sample_461.wav,When I stand up too quickly I start to feel dizzy and light-headed
train_sample_462.wav,"i am feeling so dizzy, body is so fragile."
train_sample_463.wav,I can't stand with this horrible feeling in my shoulder
train_sample_464.wav,I have an indigestion
train_sample_465.wav,I can't sleep I have a hard cough
train_sample_466.wav,I knocked my foot and it really hurts.
train_sample_467.wav,is my cut infected or just healing?
train_sample_468.wav,My neck has been sore since the accident.
train_sample_469.wav,"can't do any exercise, i feel weak"
train_sample_470.wav,i feel pain in my neck
train_sample_471.wav,"my cbc report indicate 10 hb, i feel tired of little work."
train_sample_472.wav,I have a head pain every single day.
train_sample_473.wav,I can't stand with this horrible feeling in my shoulder
train_sample_474.wav,I knocked my foot and it really hurts.
train_sample_475.wav,"surgical wounds red, firing pus, painful and hot to the touch"
train_sample_476.wav,When I carry heavy things i feel like breaking my back
train_sample_477.wav,I feel like something is squeezing my lungs.
train_sample_478.wav,I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.
train_sample_479.wav,I have a dull ache in my head
train_sample_480.wav,I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.
train_sample_481.wav,I have this strange rash on my arm.
train_sample_482.wav,I tried alot of cream but i still feel the same skin problem
train_sample_483.wav,my left side aches much
train_sample_484.wav,When I walk it's hard to breath.
train_sample_485.wav,My back hurts so much I can't bend down to tie my shoelaces.
train_sample_486.wav,i have a pain in my elbow joint
train_sample_487.wav,I feel very weak in my body
train_sample_488.wav,I'm not good i'm feeling so cold
train_sample_489.wav,I feel a soreness in my knees when I walk
train_sample_490.wav,my temperature dropped and my body get synosed
train_sample_491.wav,My hair is falling out in bunches.
train_sample_492.wav,I noticed an important decrease in my vision when I try to look at things up close.
train_sample_493.wav,Chronic bone disease at the level of the doubles of the lower Estremidades
train_sample_494.wav,I had a collision while playing soccer.  My knee buckled and now it's unstable.
train_sample_495.wav,I get clusters of whiteheads and blackheads on my back.
train_sample_496.wav,my temperature dropped and my body get synosed
